Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Mean_Humidity,Mean_Sea_Level_Pressure_In,Mean_Wind_Speed_MPH,Precipitation_In,Events
10/13/2014,71,62,54,68,29.79,4,0,Rain
10/14/2014,63,59,55,78,29.75,5,0.11,Rain
10/15/2014,62,58,54,77,29.71,7,0.45,Rain
10/16/2014,71,61,52,61,29.95,4,0,Rain
10/17/2014,64,60,57,72,29.78,3,0.14,Rain
10/18/2014,68,64,59,83,29.9,4,0.31,Rain
10/19/2014,73,64,55,74,29.73,3,0,
10/20/2014,66,60,55,78,29.74,5,0.44,Rain
10/21/2014,64,58,55,70,29.85,8,0.1,Rain
10/22/2014,60,58,57,81,29.68,8,1.43,Rain
10/23/2014,62,55,50,76,29.83,9,0.35,Rain
10/24/2014,60,56,51,75,29.96,4,0.13,Rain
10/25/2014,64,58,52,78,29.48,6,0.37,Rain
10/26/2014,59,52,48,71,29.98,12,0.05,Rain
10/27/2014,62,54,45,72,30.09,4,0.01,Rain
10/28/2014,62,56,51,80,29.88,5,0.34,Rain
10/29/2014,64,59,54,76,30.06,7,0.04,Rain
10/30/2014,62,58,55,82,29.83,2,0.67,Rain
10/31/2014,59,54,52,83,29.79,4,0.77,Rain
11/1/2014,55,52,48,78,29.92,1,0,
11/2/2014,57,51,45,82,30.1,5,0.11,Rain
11/3/2014,60,58,55,80,30.08,8,0.24,Rain
11/4/2014,61,58,55,79,30.14,6,0.05,Rain
11/5/2014,61,57,53,79,30.15,2,0.27,Rain
11/6/2014,64,60,54,75,29.99,8,0.22,Rain
11/7/2014,59,52,45,72,30.41,3,0,
11/8/2014,55,48,42,78,30.25,1,0,
11/9/2014,57,52,48,80,29.93,6,0.29,Rain
11/10/2014,54,48,43,71,30.17,2,0,
11/11/2014,48,42,36,42,30.28,5,0,
11/12/2014,46,39,32,24,30.25,8,0,
11/13/2014,48,40,30,30,30.01,4,0,
11/14/2014,48,38,28,48,30.15,2,0,
11/15/2014,48,38,27,51,30.46,1,0,
11/16/2014,50,39,28,53,30.45,1,0,
11/17/2014,52,41,30,60,30.31,1,0,
11/18/2014,48,39,30,75,30.13,1,0,
11/19/2014,52,44,36,66,29.93,2,0,Rain
11/20/2014,54,49,44,80,29.96,4,0.11,Rain
11/21/2014,55,52,50,79,29.58,7,0.67,Rain
11/22/2014,51,48,45,77,29.88,8,0.03,Rain
11/23/2014,57,50,44,74,30.18,10,0.42,Rain
11/24/2014,55,47,39,79,30.23,6,0.01,Rain
11/25/2014,60,56,51,83,30.17,6,0.33,Rain
11/26/2014,61,59,57,75,30.04,11,0.01,Rain
11/27/2014,62,58,55,70,29.81,12,0.04,Rain
11/28/2014,57,48,39,80,29.54,9,1.39,Rain
